Title;Type;Issn
Brain and Behavior;journal;ISSN 21623279
Chronobiology International;journal;ISSN 07420528
Pediatric Infectious Disease Journal;journal;ISSN 08913668
Journal of Human Genetics;journal;ISSN 1435232X, 14345161
Alcoholism: Clinical and Experimental Research;journal;ISSN 15300277, 01456008
Cellular Oncology;journal;ISSN 22113436, 22113428
MobiSys'12 - Proceedings of the 10th International Conference on Mobile Systems, Applications, and Services;conference and proceeding;-
Expert Review of Anti-Infective Therapy;journal;ISSN 14787210
Energy Strategy Reviews;journal;ISSN 2211467X
Neurosurgery;journal;ISSN 0148396X
Journal of Physical Chemistry B;journal;ISSN 15206106
Gait and Posture;journal;ISSN 09666362
Journal of Grid Computing;journal;ISSN 15707873
Comparative Education;journal;ISSN 03050068, 13600486
Industrial Marketing Management;journal;ISSN 00198501
Social Problems;journal;ISSN 00377791
ReCALL;journal;ISSN 09583440
Educational Psychology Review;journal;ISSN 1040726X, 1573336X
Organic Process Research and Development;journal;ISSN 10836160, 1520586X
Experimental Astronomy;journal;ISSN 09226435, 15729508
Brain Research Bulletin;journal;ISSN 03619230
American Journal of Physical Anthropology;journal;ISSN 10968644, 00029483
Plant and Soil;journal;ISSN 0032079X, 15735036
Cyberpsychology, Behavior, and Social Networking;journal;ISSN 21522723, 21522715
Immunobiology;journal;ISSN 01712985, 18783279
Therapeutic Advances in Medical Oncology;journal;ISSN 17588340, 17588359
Best Practice and Research in Clinical Gastroenterology;journal;ISSN 15216918
Proceedings - 2012 IEEE/ACM 45th International Symposium on Microarchitecture, MICRO 2012;conference and proceeding;-
Pharmacogenomics Journal;journal;ISSN 1470269X, 14731150
International Journal of Medical Informatics;journal;ISSN 13865056
Bulletin of Symbolic Logic;journal;ISSN 10798986
I Tatti Studies;journal;ISSN 03935949
Stem Cell Research and Therapy;journal;ISSN 17576512
Anaesthesia;journal;ISSN 00032409, 13652044
Politics and Society;journal;ISSN 00323292
Nonlinearity;journal;ISSN 09517715
Dalton Transactions;journal;ISSN 14779234, 14779226
Memory and Cognition;journal;ISSN 15325946, 0090502X
Veterinary Research;journal;ISSN 09284249, 12979716
Environmental Politics;journal;ISSN 09644016
Academic Pediatrics;journal;ISSN 18762867, 18762859
Journal of Family Psychology;journal;ISSN 08933200
Journal of Dairy Science;journal;ISSN 00220302, 15253198
Geosphere;journal;ISSN 1553040X
Quarterly Journal of Political Science;journal;ISSN 15540634, 15540626
Journal of Planning Education and Research;journal;ISSN 0739456X
Behavioral Neuroscience;journal;ISSN 07357044
BMC Pregnancy and Childbirth;journal;ISSN 14712393
Current Opinion in Pulmonary Medicine;journal;ISSN 15316971, 10705287
Entrepreneurship and Regional Development;journal;ISSN 14645114, 08985626
American Journal of Hypertension;journal;ISSN 08957061
Journal of Intelligent Manufacturing;journal;ISSN 09565515, 15728145
Advances in Health Sciences Education;journal;ISSN 15731677, 13824996
Respiratory Medicine;journal;ISSN 09546111
Language Teaching Research;journal;ISSN 14770954, 13621688
Post-Soviet Affairs;journal;ISSN 1060586X
Representation Theory;journal;ISSN 10884165
Learning, Media and Technology;journal;ISSN 17439884
Semantic Web;journal;ISSN 15700844, 22104968
Medical Physics;journal;ISSN 00942405
Atomic Data and Nuclear Data Tables;journal;ISSN 0092640X, 10902090
Bulletin of Earthquake Engineering;journal;ISSN 1570761X
PLoS ONE;journal;ISSN 19326203
Journal of Sleep Research;journal;ISSN 09621105, 13652869
Journal of Agrarian Change;journal;ISSN 14710358, 14710366
IEEE Transactions on Circuits and Systems I: Regular Papers;journal;ISSN 15498328
Molecular Carcinogenesis;journal;ISSN 10982744, 08991987
Fungal Genetics and Biology;journal;ISSN 10871845, 10960937
Journal of Asian Earth Sciences;journal;ISSN 13679120
Journal of Rheology;journal;ISSN 01486055
Journal of Sandwich Structures and Materials;journal;ISSN 10996362
Microsurgery;journal;ISSN 10982752, 07381085
ALTEX : Alternativen zu Tierexperimenten;journal;ISSN 09467785, 1868596X
Quarterly Journal of Experimental Psychology;journal;ISSN 17470218, 17470226
Vegetation History and Archaeobotany;journal;ISSN 09396314, 16176278
Psychiatry;journal;ISSN 00332747
Mathematics of Control, Signals, and Systems;journal;ISSN 1435568X, 09324194
BMC Microbiology;journal;ISSN 14712180
Electrochimica Acta;journal;ISSN 00134686
British Medical Bulletin;journal;ISSN 00071420, 14718391
Aggressive Behavior;journal;ISSN 0096140X, 10982337
Experimental Physiology;journal;ISSN 1469445X, 09580670
Journal of Inherited Metabolic Disease;journal;ISSN 01418955, 15732665
IEEE Transactions on Education;journal;ISSN 00189359
Marine Chemistry;journal;ISSN 03044203
Experimental Thermal and Fluid Science;journal;ISSN 08941777
IEEE Transactions on Industry Applications;journal;ISSN 00939994
Mind and Language;journal;ISSN 14680017, 02681064
Food and Bioprocess Technology;journal;ISSN 19355130, 19355149
Current Genomics;journal;ISSN 13892029
Gerontology;journal;ISSN 14230003, 0304324X
Gastric Cancer;journal;ISSN 14363305, 14363291
Prehospital Emergency Care;journal;ISSN 15450066, 10903127
Probabilistic Engineering Mechanics;journal;ISSN 02668920
Academic Emergency Medicine;journal;ISSN 10696563
Journal of Business and Psychology;journal;ISSN 1573353X, 08893268
IEEE Transactions on Neural Systems and Rehabilitation Engineering;journal;ISSN 15344320
ChemPhysChem;journal;ISSN 14397641, 14394235
Aggression and Violent Behavior;journal;ISSN 13591789
Language Teaching;journal;ISSN 02614448
Current Problems in Cardiology;journal;ISSN 01462806
Twin Research and Human Genetics;journal;ISSN 18324274
Road Materials and Pavement Design;journal;ISSN 14680629
Proteins: Structure, Function and Genetics;journal;ISSN 08873585, 10970134
Annals of Glaciology;journal;ISSN 02603055
International Journal of Geriatric Psychiatry;journal;ISSN 10991166, 08856230
Clinical Colorectal Cancer;journal;ISSN 15330028
Information and Management;journal;ISSN 03787206
International Journal of Tuberculosis and Lung Disease;journal;ISSN 10273719, 18157920
Veterinary Microbiology;journal;ISSN 03781135
Journal of Sedimentary Research;journal;ISSN 15271404
BMC Developmental Biology;journal;ISSN 1471213X
Journal of Dermatological Science;journal;ISSN 09231811
Random Structures and Algorithms;journal;ISSN 10429832
Annals of Intensive Care;journal;ISSN 21105820
ChemistryOpen;journal;ISSN 21911363
Structural Dynamics;journal;ISSN 23297778
World Bank Research Observer;journal;ISSN 02573032, 15646971
Robotics and Autonomous Systems;journal;ISSN 09218890
Annales Henri Poincare;journal;ISSN 14240637, 14240661
Journal of Animal Science;journal;ISSN 00218812, 15253163
Government Information Quarterly;journal;ISSN 0740624X
Pain Physician;journal;ISSN 15333159
Investigational New Drugs;journal;ISSN 01676997, 15730646
Syntax;journal;ISSN 13680005
Review of Public Personnel Administration;journal;ISSN 0734371X
Consumption Markets and Culture;journal;ISSN 1477223X, 10253866
World Journal of Surgery;journal;ISSN 03642313, 14322323
Appetite;journal;ISSN 10958304, 01956663
Swarm Intelligence;journal;ISSN 19353812
Biotropica;journal;ISSN 00063606
Global Environmental Politics;journal;ISSN 15263800
Current Neuropharmacology;journal;ISSN 1570159X
Behavioral Ecology and Sociobiology;journal;ISSN 14320762, 03405443
British Journal of Criminology;journal;ISSN 00070955, 14643529
BMC Public Health;journal;ISSN 14712458
Marine and Petroleum Geology;journal;ISSN 02648172
Potential Analysis;journal;ISSN 09262601, 1572929X
International Journal of Legal Medicine;journal;ISSN 14371596, 09379827
Therapeutic Advances in Gastroenterology;journal;ISSN 1756283X, 17562848
Electoral Studies;journal;ISSN 02613794
British Journal of Management;journal;ISSN 14678551, 10453172
Engineering Applications of Artificial Intelligence;journal;ISSN 09521976
Australian Meteorological and Oceanographic Journal;journal;ISSN 1836716X
HotSDN'12 - Proceedings of the 1st ACM International Workshop on Hot Topics in Software Defined Networks;conference and proceeding;-
Journal of Marital and Family Therapy;journal;ISSN 0194472X
Alzheimer Disease and Associated Disorders;journal;ISSN 15464156, 08930341
Mediators of Inflammation;journal;ISSN 09629351, 14661861
Industrial and Corporate Change;journal;ISSN 09606491, 14643650
Cancer Management and Research;book serie;ISSN 11791322
ACS Medicinal Chemistry Letters;journal;ISSN 19485875
Clinical and Experimental Immunology;journal;ISSN 00099104, 13652249
Marketing Letters;journal;ISSN 1573059X, 09230645
Journal of Studies on Alcohol and Drugs;journal;ISSN 19371888, 19384114
Current molecular pharmacology;journal;ISSN 18744702, 18744672
Mechanisms of Development;journal;ISSN 09254773
Journal of Small Business Management;journal;ISSN 1540627X, 00472778
Land Economics;journal;ISSN 00237639
Networks and Heterogeneous Media;journal;ISSN 15561801, 1556181X
Attention, Perception & Psychophysics;journal;ISSN 19433921, 1943393X
Experimental and Clinical Psychopharmacology;journal;ISSN 10641297
Acta Psychologica;journal;ISSN 00016918
Health Economics;journal;ISSN 10991050, 10579230
Exercise Immunology Review;journal;ISSN 10775552
Consciousness and Cognition;journal;ISSN 10902376, 10538100
Human Pathology;journal;ISSN 00468177
Sleep Medicine;journal;ISSN 13899457
Bioenergy Research;journal;ISSN 19391234
Scandinavian Journal of Statistics;journal;ISSN 14679469, 03036898
Amino Acids;journal;ISSN 09394451, 14382199
Journal of Geodynamics;journal;ISSN 02643707
Antiviral Therapy;journal;ISSN 13596535
International Journal of Intelligent Systems;journal;ISSN 08848173, 1098111X
Pediatric Critical Care Medicine;journal;ISSN 15297535
Resources, Conservation and Recyclcing;journal;ISSN 09213449
Drug Safety;journal;ISSN 01145916
Bilingualism;journal;ISSN 14691841, 13667289
Journal of Business Ethics;journal;ISSN 01674544, 15730697
Age;journal;ISSN 01619152
Forensic Science International: Genetics;journal;ISSN 18724973
Journal of Psychosomatic Research;journal;ISSN 00223999
Meditteranean Politics;journal;ISSN 13629395
Ocular Surface;journal;ISSN 15420124
Revstat Statistical Journal;journal;ISSN 16456726
Frontiers in Computational Neuroscience;journal;ISSN 16625188
Advances in Differential Equations;journal;ISSN 10799389
Control Engineering Practice;journal;ISSN 09670661
Indiana University Mathematics Journal;journal;ISSN 00222518
British Journal of Social Psychology;journal;ISSN 01446665
International Review of Research in Open and Distance Learning;journal;ISSN 14923831
Economics of Education Review;journal;ISSN 02727757
SIAM Journal on Applied Dynamical Systems;journal;ISSN 15360040
Transportmetrica A: Transport Science;journal;ISSN 23249943, 23249935
Brain Research;journal;ISSN 00068993
Virginia Law Review;journal;ISSN 00426601
Hypertension Research;journal;ISSN 09169636
Review of World Economics;journal;ISSN 16102878
California Law Review;journal;ISSN 00081221
International journal of nanomedicine;journal;ISSN 11782013, 11769114
Autism;journal;ISSN 13623613
Public Culture;journal;ISSN 15278018, 08992363
Journal of Surgical Oncology;journal;ISSN 00224790, 10969098
Journal of Hospital Infection;journal;ISSN 01956701
Journal of Advertising;journal;ISSN 00913367
Technological Forecasting and Social Change;journal;ISSN 00401625
Journal of the International Neuropsychological Society : JINS;journal;ISSN 14697661, 13556177
Catalysis Today;journal;ISSN 09205861
Integral Equations and Operator Theory;journal;ISSN 0378620X, 14208989
Current Diabetes Reports;journal;ISSN 15390829, 15344827
Transport Policy;journal;ISSN 0967070X
American Journal of Reproductive Immunology;journal;ISSN 10467408
Biomaterials Science;journal;ISSN 20474849, 20474830
Breast;journal;ISSN 09609776
IEEE Transactions on Microwave Theory and Techniques;journal;ISSN 00189480
Microbial Ecology;journal;ISSN 1432184X, 00953628
Deep-Sea Research Part I: Oceanographic Research Papers;journal;ISSN 09670637
Journal of Functional Foods;journal;ISSN 17564646
Journal of Immunology Research;journal;ISSN 23147156, 23148861
Neurochemistry International;journal;ISSN 01970186
Written Communication;journal;ISSN 07410883
Environment and Behaviour;journal;ISSN 00139165
Evolutionary Biology;journal;ISSN 00713260
Social Politics;journal;ISSN 10724745, 14682893
Journal of Geology;journal;ISSN 15375269, 00221376
Mobilities;journal;ISSN 17450101, 1745011X
IUBMB Life;journal;ISSN 15216543, 15216551
Child Abuse and Neglect;journal;ISSN 01452134
World Bank Economic Review;journal;ISSN 02586770, 1564698X
GeoResJ;journal;ISSN 22142428
Laryngoscope;journal;ISSN 0023852X
Protein Engineering, Design and Selection;journal;ISSN 17410126
Catheterization and Cardiovascular Interventions;journal;ISSN 1522726X, 15221946
Myrmecological News;journal;ISSN 19973500, 19944136
Journal of the American Helicopter Society;journal;ISSN 00028711
Journal of Biochemistry;journal;ISSN 0021924X
Genetics, Selection, Evolution;journal;ISSN 12979686, 0999193X
Natural Language and Linguistic Theory;journal;ISSN 0167806X, 15730859
Journal of Pest Science;journal;ISSN 16124758, 16124766
Experimental Hematology;journal;ISSN 0301472X
Space Weather;journal;ISSN 15427390
Environmental and Experimental Botany;journal;ISSN 00988472
Vanderbilt Law Review;journal;ISSN 00422533
Hematology/Oncology Clinics of North America;journal;ISSN 08898588
Targeted Oncology;journal;ISSN 1776260X, 17762596
Dental Materials;journal;ISSN 01095641
International Political Sociology;journal;ISSN 17495687, 17495679
European Eating Disorders Review;journal;ISSN 10724133, 10990968
Diabetes Research and Clinical Practice;journal;ISSN 01688227
Clinical and Experimental Metastasis;journal;ISSN 02620898
European Journal of Nutrition;journal;ISSN 14366215, 14366207
Shock;journal;ISSN 10732322
Infectious Disease Clinics of North America;journal;ISSN 08915520
Clinical and Experimental Ophthalmology;journal;ISSN 14426404, 14429071
Journal of Orthopaedic and Sports Physical Therapy;journal;ISSN 01906011
Developmental and Comparative Immunology;journal;ISSN 0145305X
Toxicology;journal;ISSN 0300483X
Acta Astronomica;journal;ISSN 00015237
Annali della Scuola Normale - Classe di Scienze;journal;ISSN 0391173X
Journal of Computer and System Sciences;journal;ISSN 00220000, 10902724
Clinics in Liver Disease;journal;ISSN 10893261
Canadian Journal of Cardiology;journal;ISSN 0828282X
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution;journal;ISSN 15525015, 15525007
Science and Technology of Welding and Joining;journal;ISSN 13621718
Microbial Biotechnology;journal;ISSN 17517907
Atmospheric Science Letters;journal;ISSN 1530261X
Journal of Planning Literature;journal;ISSN 08854122
Materials Science and Engineering C;journal;ISSN 09284931
Journal of Clinical Immunology;journal;ISSN 15732592, 02719142
Reading and Writing;journal;ISSN 09224777, 15730905
IET Generation, Transmission and Distribution;journal;ISSN 17518687, 17518695
Journal of the Meteorological Society of Japan;journal;ISSN 00261165
Current Opinion in Endocrinology, Diabetes and Obesity;journal;ISSN 1752296X
